28, I , 186053           , 134014599    , 134015372    ,12319512,NULL,NULL,NULL, 6 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 28.11.2008 ,NULL, 20.12.2010 , 28.11.2008 
28, I , 186060           , 134014603    , 134015372    ,12319500,NULL,NULL,NULL, 10 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 28.11.2008 ,NULL, 20.12.2010 , 28.11.2008 
28, I , 186067           , 134014605    , 134015372    ,12319502,NULL,NULL,NULL, 12 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 28.11.2008 ,NULL, 20.12.2010 , 28.11.2008 
28, I , 186074           , 134014608    , 134015372    ,12319505,NULL,NULL,NULL, 15 COMMODORE CHALETS ,NULL,NULL,NULL,NULL, HOLM , ORKNEY , KW17 2RU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 28.11.2008 ,NULL, 20.12.2010 , 28.11.2008 
28, I , 186081           , 134013949    , 134015373    ,12313021,NULL,NULL,NULL,NULL,1,NULL, GLEN DALE PARK ,NULL, ST. OLA , KIRKWALL , KW15 1ST , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 05.11.2008 ,NULL, 20.12.2010 , 05.11.2008 
28, I , 186088           , 134013950    , 134015373    ,12313022,NULL,NULL,NULL,NULL,2,NULL, GLEN DALE PARK ,NULL, ST. OLA , KIRKWALL , KW15 1ST , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 05.11.2008 ,NULL, 20.12.2010 , 05.11.2008 
28, I , 186095           , 134013951    , 134015374    ,12313038,NULL,NULL, 1 OAK COTTAGE , HIGHLAND PARK ,NULL,NULL,NULL,NULL, ST. OLA , KIRKWALL , KW15 1SU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 05.11.2008 ,NULL, 20.12.2010 , 05.11.2008 
28, I , 186102           , 134013952    , 134015374    ,12313040,NULL,NULL, 2 OAK COTTAGE , HIGHLAND PARK ,NULL,NULL,NULL,NULL, ST. OLA , KIRKWALL , KW15 1SU , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 05.11.2008 ,NULL, 20.12.2010 , 05.11.2008 
28, I , 186109           , 134013941    , 134015375    ,12313010,NULL,NULL,NULL, 1 LYNNSIDE ,NULL,NULL,NULL,NULL, ST. OLA , KIRKWALL , KW15 1SR , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 04.11.2008 ,NULL, 20.12.2010 , 04.11.2008 
28, I , 186116           , 134013943    , 134015375    ,12313012,NULL,NULL,NULL, 3 LYNNSIDE ,NULL,NULL,NULL,NULL, ST. OLA , KIRKWALL , KW15 1SR , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 04.11.2008 ,NULL, 20.12.2010 , 04.11.2008 
28, I , 186123           , 134013975    , 134015377    ,12313439,NULL,NULL,NULL, 2 SAVEROCK COTTAGE ,NULL,NULL,NULL,NULL, ST. OLA , KIRKWALL , KW15 1TY , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 05.11.2008 ,NULL, 20.12.2010 , 05.11.2008 
28, I , 186130           , 134013965    , 134015378    ,12313370,NULL,NULL,NULL, 1 HEATHFIELD COTTAGE ,NULL,NULL,NULL,NULL, ST. OLA , KIRKWALL , KW15 1TR , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 05.11.2008 ,NULL, 20.12.2010 , 05.11.2008 
28, I , 186137           , 134014496    , 134015385    ,12318453,NULL,NULL,NULL, 1 SOUTH MOA ,NULL,NULL,NULL,NULL, RENDALL , ORKNEY , KW17 2PB , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 26.11.2008 ,NULL, 22.12.2010 , 26.11.2008 
